name,community,,Total:,  Male:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,  Female:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over
,,Margin of Error,*****,+/-346,+/-146,+/-572,+/-580,+/-153,+/-153,+/-908,+/-751,+/-940,+/-192,+/-260,+/-571,+/-566,+/-149,+/-174,+/-438,+/-381,+/-486,+/-282,+/-307,+/-319,+/-267,+/-271,+/-234,+/-346,+/-166,+/-532,+/-510,+/-145,+/-260,+/-725,+/-743,+/-781,+/-139,+/-206,+/-623,+/-601,+/-142,+/-146,+/-497,+/-403,+/-432,+/-336,+/-315,+/-346,+/-299,+/-301,+/-281
"Columbus, GA-AL Metro Area (part); Georgia",Columbus,Estimate,240171,117720,8675,8595,8454,5450,5762,2770,2537,5926,8138,7804,7482,7344,7989,7713,6661,2417,3055,1643,2067,2901,2072,1469,796,122451,8433,8269,7987,5203,3492,1841,1566,5578,8723,7792,8282,7724,8737,8411,7119,2779,3804,2206,2553,3802,3203,2675,2272
,,Margin of Error,*****,+/-331,+/-164,+/-429,+/-418,+/-169,+/-442,+/-480,+/-544,+/-454,+/-591,+/-190,+/-468,+/-446,+/-194,+/-220,+/-334,+/-297,+/-304,+/-253,+/-258,+/-290,+/-214,+/-220,+/-152,+/-331,+/-198,+/-518,+/-496,+/-122,+/-217,+/-274,+/-270,+/-355,+/-154,+/-149,+/-485,+/-443,+/-124,+/-127,+/-374,+/-302,+/-318,+/-250,+/-249,+/-298,+/-271,+/-253,+/-268
"Macon, GA Metro Area; Georgia",Macon,Estimate,231828,110544,7984,8228,8407,5224,3404,1363,1079,4777,7245,6751,6761,7612,8258,8121,7205,2687,3324,1962,2327,3131,2407,1409,878,121284,7820,8005,7834,5064,4385,1662,1585,4196,7767,7191,7277,8241,8838,8883,7843,2989,4076,2255,2926,3861,3540,2624,2422
,,Margin of Error,*****,+/-299,+/-225,+/-477,+/-455,+/-196,+/-252,+/-280,+/-234,+/-401,+/-251,+/-330,+/-498,+/-495,+/-206,+/-148,+/-436,+/-335,+/-356,+/-219,+/-283,+/-294,+/-234,+/-231,+/-174,+/-299,+/-205,+/-586,+/-563,+/-174,+/-369,+/-276,+/-307,+/-409,+/-213,+/-234,+/-481,+/-497,+/-172,+/-205,+/-432,+/-295,+/-409,+/-270,+/-291,+/-331,+/-253,+/-270,+/-259
"Milledgeville, GA Micro Area; Georgia",Milledgeville,Estimate,55960,28671,1713,1574,1409,1066,1428,864,835,1762,1876,1766,1516,2148,2113,2110,1964,499,903,544,661,761,584,387,188,27289,1571,1293,1628,904,1278,953,1204,1536,1582,1314,1745,1479,1809,1849,1608,848,848,549,681,827,749,498,536
,,Margin of Error,*****,+/-206,+/-79,+/-177,+/-170,+/-86,+/-96,+/-236,+/-257,+/-368,+/-95,+/-123,+/-181,+/-184,+/-95,+/-98,+/-210,+/-146,+/-214,+/-139,+/-133,+/-120,+/-127,+/-125,+/-89,+/-206,+/-81,+/-257,+/-249,+/-76,+/-267,+/-362,+/-399,+/-350,+/-55,+/-103,+/-247,+/-238,+/-72,+/-64,+/-194,+/-183,+/-188,+/-129,+/-161,+/-155,+/-153,+/-125,+/-140
"Fort Wayne, IN Metro Area; Indiana",Fort Wayne,Estimate,414593,202757,15522,15221,15840,9729,5925,2546,2716,7772,13474,13124,13417,13618,14774,14849,13327,4753,5024,2655,4047,5180,3987,3259,1998,211836,14891,14993,15300,9212,5642,2681,2793,7911,13759,13213,13916,13261,15015,15316,13589,4634,6310,3346,4470,6225,5524,4512,5323
,,Margin of Error,*****,+/-127,+/-89,+/-578,+/-579,+/-49,+/-117,+/-340,+/-340,+/-391,+/-48,+/-43,+/-483,+/-484,+/-69,+/-69,+/-428,+/-359,+/-357,+/-223,+/-365,+/-349,+/-296,+/-304,+/-228,+/-127,+/-58,+/-558,+/-563,+/-44,+/-116,+/-305,+/-360,+/-372,+/-128,+/-54,+/-525,+/-525,+/-57,+/-69,+/-448,+/-325,+/-424,+/-322,+/-349,+/-377,+/-366,+/-358,+/-359
"Wichita, KS Metro Area; Kansas",Wichita,Estimate,615802,304550,23588,23665,23424,14105,8500,4082,3660,13096,21747,19840,19728,19069,22160,22336,19260,6504,8068,4189,5593,7450,6263,4374,3849,311252,22980,22887,21908,13753,8110,3954,4292,12388,21398,19620,19242,19018,22382,22692,19329,6496,8465,4766,6730,8467,8160,6596,7619
